id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year
4391929181,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,fire,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,bolas,peinture,eros,container,freemasonry,anarchy,artbrut,ddc,sanctuary,worldwar,mystic,feu,cyberpunk,landart,devastation,alchemy,modernsculpture,prophecy,999,vanitas,revelation,endoftheworld,sanctuaire,postapocalyptic,dadaisme,vulcain,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,visionaryarchitecture,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,gesamtkuntwerk,lemondedefelix,groupeserveur,lespritdelasalamandre,servergroup",Vulcain ou le monde de Felix _DDC4673,21,23,24,2,2010
4391929097,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,fire,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,bolas,peinture,eros,container,freemasonry,anarchy,artbrut,ddc,sanctuary,worldwar,mystic,feu,cyberpunk,landart,devastation,alchemy,modernsculpture,prophecy,999,vanitas,revelation,endoftheworld,sanctuaire,postapocalyptic,dadaisme,vulcain,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,visionaryarchitecture,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,gesamtkuntwerk,lemondedefelix,groupeserveur,lespritdelasalamandre,servergroup",Vulcain ou le monde de Felix _DDC4470,25,21,24,2,2010
4391929053,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,fire,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,bolas,peinture,eros,container,freemasonry,anarchy,artbrut,ddc,sanctuary,worldwar,mystic,feu,cyberpunk,landart,devastation,alchemy,modernsculpture,prophecy,999,vanitas,revelation,endoftheworld,sanctuaire,postapocalyptic,dadaisme,vulcain,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,visionaryarchitecture,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,gesamtkuntwerk,lemondedefelix,groupeserveur,lespritdelasalamandre,servergroup",Vulcain ou le monde de Felix _DDC4372,31,20,24,2,2010
4394564393,11817998@N05,45.758879,4.840307,"365,iphone",58/365 - @Tostaki,39,16,27,2,2010
4392269794,10404945@N05,45.757515,4.825572,"bridge,panorama,france,night,river,view,lyon,fiume,lione,ponte,pont,francia,nuit,notte,fleuve,saone",Panorama test 1,41,11,27,2,2010
4391330105,8836196@N06,45.756744,4.839885,"bridge,lyon,rhône,pont,soe,rendezvous,naturesfinest,blueribbonwinner,supershot,golddragon,mywinners,platinumphoto,impressedbeauty,aplusphoto,diamondclassphotographer,flickrdiamond,citritgroup,theunforgettablepictures,platinumheartaward,betterthangood,theperfectphotographer,goldstaraward,goldstarawardgoldmedalwinner,pontdelaguillotière,vanagram,artofimages",""" Passerelle pour un rendez-vous...""",36,12,22,8,2009
4392097248,9822280@N06,45.78207,4.87603,"lyon,paysageurbain,ladoua",IMG_3387,27,18,1,2,2010
4390395039,65917247@N00,45.741093,4.883846,"baby,daughter,maternity,newborn,2010,1day,noémie",baby dreams,7,20,12,2,2010
4390679749,38951914@N06,45.77419,4.831768,"france,lyon,carousel,submarine,nautilus,croixrousse,verne",The Nautilus on the Jules Verne carousel,20,1,9,5,2009
4391162040,65917247@N00,45.741284,4.883664,"baby,me,dad,father,daughter,maternity,newborn,2010,1day,noémie",being dad,15,18,12,2,2010
4390212637,11817998@N05,45.752321,4.84286,"r2d2,365,iphone",57/365 - R2D2,38,23,26,2,2010
