id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,cluster hierarchical complete,cluster hierarchical average,cluster hierarchical single
7006674533,50747978@N04,45.763294,4.851027,"building,tower,lafayette,tour,lyon,garibaldi,incity,démolition",Lyon ... Tour Incity ...,56,13,25,11,2011,5,4,0
15196876840,21442750@N07,45.732958,4.86425,"city,urban,france,architecture,mural,lyon,architect,20thcentury,openairmuseum,utopia,urbanplanning,modernist,tonygarnier,etatsunis,twentiethcentury,rhônealpes,cityplanner,edouardherriot,citécréation,unecitéindustrielle",Le Musée urbain Tony Garnier,29,15,13,9,2014,2,4,0
14581390910,13453036@N02,45.774617,4.852566,"snow,france,lyon,neige,fallowdeer,daim,têtedor,parcdelatêtedor,damadama,têtedorpark",Un Daim sous la Neige,58,12,2,12,2012,5,4,0
40171440212,39132174@N00,45.732672,4.818322,"museographie,expérience,ux,interactivité,musée",Musée des Confluences Lyon,34,17,10,2,2018,5,4,0
29498286565,41158550@N00,45.729616,4.809397,"300mm,byeflyfree,dxo,france,lyonconfluence,nuit,objectifmanuel,paysageurbain,pentax,pentaxk3,pont,poselongue,tamron,unioneuropéenne,ville",Musée des Confluences derrière le pont ferroviaire,15,22,5,9,2016,5,4,0
4605699809,40936370@N00,45.837493,4.827284,"portrait,sculpture,streetart,france,art,car,mystery,museum,painting,graffiti,ruins,automobile,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,voiture,renault,container,freemasonry,artbrut,ddc,sanctuary,cyberpunk,landart,alchemy,modernsculpture,prophecy,999,vanitas,revelation,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,juvaquatre,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup",Les Juvaquatre Européennes envahissent la DDC _DDC7731,8,15,13,5,2010,0,3,0
44549397410,110474185@N06,45.776713,4.855705,,2016-12-10-Lyon-078,30,16,10,12,2016,5,4,0
15430429065,95921949@N04,45.753815,4.866936,,20141003_155302,53,15,3,10,2014,5,4,0
6517494529,67489335@N02,45.782131,4.915398,,Orages sur Vaulx en Velin,28,20,31,8,2011,1,0,0
4178764062,11207214@N08,45.769962,4.836773,"color,night,lights,december,lyon,8,cube,fête,nuit,2009,festivaloflights,couleur,décoration,centreville,lumières,rubikscube,décembre,décor,croixrousse,spectacle,fêtedeslumières,lugdunum,pentes,pentesdelacroixrousse,rhônealpes,lumickscube,katiamaze,florianpresle",Lumick's Cube,55,23,6,12,2009,5,4,0
35159398006,40936370@N00,45.83744,4.826388,"abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsider,mystery,francmaconnerie,freemasonry,endoftheworld,devastation,worldwar,anarchy,ground,zero,blackswantheory,destroy,bombing,geopolitique,crashculture,gesamtkuntwerk,visionaryarchitecture,monochrome","Regard de thierry Ehrmann, auteur de la Demeure du Chaos / Abode of Chaos",53,18,8,6,2017,0,3,0
5187515611,55901744@N06,45.767747,4.835035,"light,lyon,hoteldeville,mairie,lumieres,fetedeslumieres",IMG_1713,55,20,6,12,2009,5,4,0
24502054182,127623444@N04,45.762427,4.822197,,Lyon 15.04,23,15,12,4,2015,5,4,0
41003837031,113391938@N03,45.797311,4.841461,,,2,11,25,3,2018,0,4,0
5400719772,48546358@N05,45.778396,4.924862,"france,piscine,vaulxenvelin,rhône,plongée",20110126IMG_9481,43,18,26,1,2011,1,0,0
6129869412,40936370@N00,45.837448,4.826248,"streetart,france,art,mystery,museum,painting,outsiderart,chaos,suspension,symbol,goin,contemporaryart,secret,911,explosion,taz,eros,container,event,vision,freemasonry,hallucination,bodyart,ddc,mystic,cyberpunk,manifestation,pmd,stelarc,alchemy,modernsculpture,prophecy,999,endoftheworld,epiphany,curator,psychosis,dadaisme,theophany,ronathey,materiaprima,nutriscoetextinguo,salamanderspirit,organmuseum,stigmates,demeureduchaos,thierryehrmann,lukaszpira,abodeofchaos,exiff,onirisme,jonjohn,xeddyx,postapocalyptique,maisondartiste,artistshouses,actingperformance,concillium,borderlinebiennale,obsoletebody,exilentia,satomizpira,lespritdelasalamandre,danielromani,survivetheapocalypse,servergroup,bodyhacktivism,lakonik,oliviercorpstech","Borderline Biennale 2011 - Obsolete Body, Satomi Zpira acting performance DSC04881",55,5,4,9,2011,0,3,0
14432363715,48551155@N05,45.767525,4.833491,"girls,lesbian,place,fontaine,mädchen,filles,terreaux,lesbi,lesbierin",Girls playing in the Fountain,43,16,14,6,2014,5,4,0
8068400516,90493526@N00,45.768495,4.829896,"streetart,france,pasteup,collage,paper,europe,lyon,crane,wheatpaste,pasted,croixrousse,wheatpaper","Pasted paper [Lyon, France]",0,17,17,9,2012,5,4,0
23564770740,92877887@N00,45.760727,4.835866,"france,20140530lyon","2014-05-30 -- Lyon, France",17,9,30,5,2014,5,4,0
34980692383,113391938@N03,45.777152,4.845511,,,26,22,7,7,2017,0,4,0
38475021471,65082413@N07,45.760891,4.828255,"lyon,france,rhone,alps,europe,travel,spring,printemps,ville","Lyon, France",55,5,24,4,2017,5,4,0
6220739134,57277233@N07,45.757636,4.825605,"street,automne,canon,walking,eos,day,lyon,candid,balade,550d,18135mm",So what ?,9,16,29,9,2011,5,4,0
4608597247,94328137@N00,45.847934,4.85115,,moka express,33,16,15,5,2010,0,3,0
40186919981,75892394@N00,45.762665,4.870908,,,1,15,4,1,2018,5,4,0
10099565535,96462195@N03,45.76573,4.841312,"france,lyon,rhône,nuit,passerelleducollège",IMGP2290,18,6,5,10,2013,5,4,0
27759385812,98226541@N08,45.7635,4.9827,,IMG_20160622_162853,28,16,22,6,2016,3,0,5
30920035217,146709606@N06,45.729498,4.95155,"car,autocar,bus,autobus,urbain,interurbain,ligne,scolaire,isuzu,citibus,autocarexpo,lyon,2018",ISUZU Citibus - FCC-Isuzu,23,14,17,10,2018,1,0,0
44824516295,14869313@N00,45.753555,4.82773,"france,auvergnerhônealpes,auvergnerhonealpes,rhônealpes,rhonealpes,rhône,rhone,lyon,geotagged","Basilique Saint-Martin d'Ainay, Lyon, France",37,14,21,10,2018,5,4,0
33260543732,54339627@N06,45.759491,4.828598,"lasoane,lyon,soaneriver,oldlyon,rivers,bridges,france20122013part2",Pont Bonaparte,37,3,15,1,2013,5,4,0
48097614102,60936467@N05,45.731886,4.865925,"france,lyon",Lyon Tony Garnier (2),16,16,13,4,2019,2,4,0
5717046360,37098636@N02,45.770833,4.814286,martingautron,XYZT V2,16,14,10,5,2011,0,4,0
8545005940,40936370@N00,45.83741,4.826163,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,artbrut,sanctuary,cyberpunk,landart,alchemy,modernsculpture,prophecy,vanitas,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,ehrmann,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,ddc999",Regard de Kurt et thierry Ehrmann sur le four alchimique de la Demeure du Chaos - Abode of Chaos IMG_1599,58,17,14,9,2012,0,3,0
25007296877,75906220@N07,45.758961,4.823358,"têtedoie,restaurant,gastronomie,lyon","Restaurant Têtedoie, Lyon",17,15,24,1,2018,5,4,0
10624646245,69811646@N08,45.762356,4.822347,,70,7,15,12,10,2013,5,4,0
20199284302,15917364@N02,45.767566,4.832929,,Lyon - A la terrasse d'un café de la place des Terreaux,14,18,31,7,2015,5,4,0
30206220594,90348978@N06,45.7597,4.8422,"instagramapp,square,squareformat,iphoneography,uploaded:by=instagram,lark",#Bonjour #Lyon,31,17,7,11,2016,5,4,0
7526648978,43706323@N03,45.769152,4.82727,"square,lofi,squareformat,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4cb84a31c7228cfab2a606ce",Ramen Bollywood,39,13,8,7,2012,5,4,0
30833135231,104350182@N02,45.758333,4.8325,,20161030_164342,21,20,11,11,2016,5,4,0
4447488358,8093821@N05,45.729865,4.824939,"hotel,tokyo,concert,agathe",P1010707,27,22,18,3,2010,5,4,0
8178222136,37785475@N04,45.775094,4.849555,"sky,blackandwhite,clouds,garden,lyon,noiretblanc,jardin,ciel,nuages,parc,greenhouses,jardindhiver,serres,efs1022mmf3545,canoneos7d,parcdelatêtedpr",Parc de la Tête d'or,53,12,19,10,2012,0,4,0
22991301883,95921949@N04,45.757613,4.831967,,FB_IMG_1447622876235,17,0,9,12,2015,5,4,0
48163426832,91124353@N05,45.761763,4.826908,"placedelabasoche,plaza,square,place,lyon,france,francia,europe,europa",Lyon (France),34,10,14,9,2018,5,4,0
4132181868,35897260@N00,45.729292,4.825165,"music,concert,lyon,live,depechemode,davegahan,martingore,halletonygarnier,touroftheuniverse,dm20091123,dmtotu20091123,cilou101","Depeche Mode, Lyon, Halle Tony Garnier 23/11/09",15,22,23,11,2009,5,4,0
8062780137,86378189@N00,45.702142,4.843099,"frankreich,rhône,reise,kreuzfahrt,arosaluna",IMG_8700,11,11,21,9,2012,2,4,0
17905285484,83294602@N03,45.786903,4.854369,"roses,festival,lyon,feu,artifices,caluireetcuire",IMG_5798,35,22,30,5,2015,5,4,0
38836727721,44856392@N03,45.769386,4.825851,"lyon,lugdunum,smog,pollution,photographiecontemporaine,photos,photographie,photography,photographieurbaine,pascalreyphotographies,nikon,d700,luminar,digikam,digikamusers,lanscapes,skyline,urbanphotography,urbaines,photographiedigitale,photographienumérique,city,ciudad,stadt,citéinternationale,ville",Pollution Lyonnaise  vue de la place Rouville.   _DSC0169L_v1,20,9,4,12,2017,5,4,0
